127.0.0.1, 2018-10-05 18:20:33, GET, /, HTTP/1.1, 303, 0.001000
127.0.0.1, 2018-10-05 18:20:34, GET, /welcome/default/index, HTTP/1.1, 200, 0.146000
127.0.0.1, 2018-10-05 18:23:32, GET, /, HTTP/1.1, 303, 0.001000
127.0.0.1, 2018-10-05 18:23:32, GET, /welcome/default/index, HTTP/1.1, 200, 0.025000
127.0.0.1, 2018-10-05 18:24:36, GET, /, HTTP/1.1, 303, 0.000000
127.0.0.1, 2018-10-05 18:24:36, GET, /welcome/default/index, HTTP/1.1, 200, 0.023000
127.0.0.1, 2018-10-05 18:37:03, GET, /, HTTP/1.1, 303, 0.000000
127.0.0.1, 2018-10-05 18:37:03, GET, /welcome/default/index, HTTP/1.1, 200, 0.093000
127.0.0.1, 2018-10-05 18:37:08, GET, /, HTTP/1.1, 303, 0.000000
127.0.0.1, 2018-10-05 18:37:08, GET, /welcome/default/index, HTTP/1.1, 200, 0.016000
127.0.0.1, 2018-10-05 18:37:36, GET, /index, HTTP/1.1, 404, 0.000000
127.0.0.1, 2018-10-05 18:37:36, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-10-05 18:37:38, GET, /welcome/default/index, HTTP/1.1, 200, 0.016000
127.0.0.1, 2018-10-05 18:37:44, GET, /admin/default/site, HTTP/1.1, 303, 0.088000
127.0.0.1, 2018-10-05 18:37:44, GET, /admin/default/index, HTTP/1.1, 200, 0.028000
127.0.0.1, 2018-10-05 18:37:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-05 18:37:46, POST, /admin/default/index, HTTP/1.1, 303, 0.016000
127.0.0.1, 2018-10-05 18:37:46, GET, /admin/default/site, HTTP/1.1, 200, 0.037000
127.0.0.1, 2018-10-05 18:37:46, POST, /admin/default/check_version, HTTP/1.1, 200, 0.317000
127.0.0.1, 2018-10-05 18:37:47, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-05 18:37:50, GET, /welcome/default/index, HTTP/1.1, 200, 0.019000
127.0.0.1, 2018-10-05 18:37:54, GET, /welcome/default/index, HTTP/1.1, 200, 0.020000
127.0.0.1, 2018-10-05 18:37:55, GET, /admin/default/site, HTTP/1.1, 200, 0.025000
127.0.0.1, 2018-10-05 18:37:55, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-05 18:37:56, GET, /examples/default/index, HTTP/1.1, 200, 0.008000
127.0.0.1, 2018-10-05 18:37:58, GET, /admin/default/site, HTTP/1.1, 200, 0.024000
127.0.0.1, 2018-10-05 18:37:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-05 18:39:25, GET, /admin/default/site, HTTP/1.1, 200, 0.027000
127.0.0.1, 2018-10-05 18:39:25, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-05 18:39:30, GET, /admin/default/site, HTTP/1.1, 200, 0.023000
127.0.0.1, 2018-10-05 18:39:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-05 18:45:46, GET, /, HTTP/1.1, 303, 0.016000
127.0.0.1, 2018-10-05 18:45:47, GET, /welcome/default/index, HTTP/1.1, 200, 0.146000
127.0.0.1, 2018-10-05 18:45:47, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-05 18:45:47, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-05 18:45:47, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-05 18:45:47, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-05 18:45:47, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-05 18:45:47, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-05 18:45:47, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.001000
0
127.0.0.1, 2018-10-05 18:45:47, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-05 18:45:51, GET, /, HTTP/1.1, 303, 0.000000
127.0.0.1, 2018-10-05 18:45:51, GET, /welcome/default/index, HTTP/1.1, 200, 0.013000
127.0.0.1, 2018-10-05 18:45:51, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-10-05 18:45:51, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-05 18:45:51, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-05 18:45:51, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-10-05 18:45:51, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-10-05 18:45:51, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-05 18:45:51, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-10-05 18:45:51, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-05 18:45:51, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-05 18:45:51, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-10-05 18:45:51, GET, /welcome/default/index, HTTP/1.1, 200, 0.017000
127.0.0.1, 2018-10-05 18:45:52, GET, /welcome/default/index, HTTP/1.1, 200, 0.016000
127.0.0.1, 2018-10-05 18:45:52, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-05 18:46:22, GET, /, HTTP/1.1, 303, 0.020000
127.0.0.1, 2018-10-05 18:46:23, GET, /welcome/default/index, HTTP/1.1, 200, 0.090000
127.0.0.1, 2018-10-05 18:47:30, GET, /welcome/default/index, HTTP/1.1, 200, 0.015000
127.0.0.1, 2018-10-05 18:47:30, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-10-05 18:48:11, GET, /index, HTTP/1.1, 404, 0.001000
127.0.0.1, 2018-10-05 18:48:32, GET, /index, HTTP/1.1, 404, 0.001000
127.0.0.1, 2018-10-05 18:49:27, GET, /, HTTP/1.1, 303, 0.000000
127.0.0.1, 2018-10-05 18:49:27, GET, /welcome/default/index, HTTP/1.1, 200, 0.016000
127.0.0.1, 2018-10-05 18:50:19, GET, /, HTTP/1.1, 303, 0.022000
127.0.0.1, 2018-10-05 18:50:19, GET, /welcome/default/index, HTTP/1.1, 200, 0.094000
127.0.0.1, 2018-10-05 18:58:06, GET, /, HTTP/1.1, 303, 0.017000
127.0.0.1, 2018-10-05 18:58:06, GET, /welcome/default/index, HTTP/1.1, 200, 0.115000
127.0.0.1, 2018-10-23 11:29:37, GET, /, HTTP/1.1, 303, 0.051000
127.0.0.1, 2018-10-23 11:29:37, GET, /welcome/default/index, HTTP/1.1, 200, 0.743000
127.0.0.1, 2018-10-23 11:29:37, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.014000
127.0.0.1, 2018-10-23 11:29:37, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.036000
127.0.0.1, 2018-10-23 11:29:37, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.050000
127.0.0.1, 2018-10-23 11:29:37, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.071000
127.0.0.1, 2018-10-23 11:29:37, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.034000
127.0.0.1, 2018-10-23 11:29:37, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.087000
127.0.0.1, 2018-10-23 11:29:37, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.047000
127.0.0.1, 2018-10-23 11:29:37, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.107000
127.0.0.1, 2018-10-23 11:29:37, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.079000
127.0.0.1, 2018-10-23 11:29:38, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-23 11:30:59, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.035000
127.0.0.1, 2018-10-23 11:31:01, POST, /welcome/default/user/login, HTTP/1.1, 303, 0.021000
127.0.0.1, 2018-10-23 11:31:01, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.019000
127.0.0.1, 2018-10-23 11:31:04, POST, /welcome/default/user/login, HTTP/1.1, 303, 0.015000
127.0.0.1, 2018-10-23 11:31:04, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.021000
127.0.0.1, 2018-10-23 11:31:09, POST, /welcome/default/user/login, HTTP/1.1, 303, 0.017000
127.0.0.1, 2018-10-23 11:31:09, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.026000
127.0.0.1, 2018-10-23 11:31:31, GET, /, HTTP/1.1, 303, 0.002000
127.0.0.1, 2018-10-23 11:31:31, GET, /welcome/default/index, HTTP/1.1, 200, 0.116000
127.0.0.1, 2018-10-23 11:31:34, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.020000
127.0.0.1, 2018-10-23 11:31:37, POST, /welcome/default/user/login, HTTP/1.1, 303, 0.023000
127.0.0.1, 2018-10-23 11:31:37, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.019000
127.0.0.1, 2018-10-23 11:31:39, GET, /welcome/default/user/register, HTTP/1.1, 200, 0.059000
127.0.0.1, 2018-10-23 11:31:47, POST, /welcome/default/user/register, HTTP/1.1, 303, 0.040000
127.0.0.1, 2018-10-23 11:31:47, GET, /welcome/default/index, HTTP/1.1, 200, 0.026000
127.0.0.1, 2018-10-23 11:31:53, GET, /start/default/index, HTTP/1.1, 200, 0.296000
127.0.0.1, 2018-10-23 11:31:53, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.006000
127.0.0.1, 2018-10-23 11:31:53, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.007000
127.0.0.1, 2018-10-23 11:31:53, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.009000
127.0.0.1, 2018-10-23 11:31:53, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.011000
127.0.0.1, 2018-10-23 11:31:53, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.019000
127.0.0.1, 2018-10-23 11:31:53, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.034000
127.0.0.1, 2018-10-23 11:31:53, GET, /start/static/js/marked.min.js, HTTP/1.1, 200, 0.026000
127.0.0.1, 2018-10-23 11:31:53, GET, /start/static/js/web2py.js, HTTP/1.1, 200, 0.036000
127.0.0.1, 2018-10-23 11:31:53, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.041000
127.0.0.1, 2018-10-23 11:31:53, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.056000
127.0.0.1, 2018-10-23 11:31:53, GET, /start/static/js/vue.min.js, HTTP/1.1, 200, 0.052000
127.0.0.1, 2018-10-23 11:31:53, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-10-23 11:31:53, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-23 11:31:55, GET, /admin/default/site, HTTP/1.1, 303, 0.364000
127.0.0.1, 2018-10-23 11:31:55, GET, /admin/default/index, HTTP/1.1, 200, 0.080000
127.0.0.1, 2018-10-23 11:31:55, GET, /admin/static/_2.17.1/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.016000
127.0.0.1, 2018-10-23 11:31:55, GET, /admin/static/_2.17.1/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.017000
127.0.0.1, 2018-10-23 11:31:55, GET, /admin/static/_2.17.1/js/calendar.js, HTTP/1.1, 200, 0.030000
127.0.0.1, 2018-10-23 11:31:55, GET, /admin/static/_2.17.1/css/calendar.css, HTTP/1.1, 200, 0.032000
127.0.0.1, 2018-10-23 11:31:55, GET, /admin/static/_2.17.1/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.008000
127.0.0.1, 2018-10-23 11:31:55, GET, /admin/static/_2.17.1/css/bootstrap.min.css, HTTP/1.1, 200, 0.009000
127.0.0.1, 2018-10-23 11:31:55, GET, /admin/static/_2.17.1/js/jquery.js, HTTP/1.1, 200, 0.060000
127.0.0.1, 2018-10-23 11:31:55, GET, /admin/static/_2.17.1/plugin_multiselect/start.js, HTTP/1.1, 200, 0.007000
127.0.0.1, 2018-10-23 11:31:55, GET, /admin/static/_2.17.1/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.010000
127.0.0.1, 2018-10-23 11:31:55, GET, /admin/static/_2.17.1/js/web2py.js, HTTP/1.1, 200, 0.058000
127.0.0.1, 2018-10-23 11:31:55, GET, /admin/static/_2.17.1/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.014000
127.0.0.1, 2018-10-23 11:31:55, GET, /admin/static/_2.17.1/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.018000
127.0.0.1, 2018-10-23 11:31:55, GET, /admin/static/_2.17.1/images/questions.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-23 11:31:55, GET, /admin/static/_2.17.1/js/bootstrap.min.js, HTTP/1.1, 200, 0.035000
127.0.0.1, 2018-10-23 11:31:55, GET, /admin/static/_2.17.1/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-23 11:31:55, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-23 11:31:57, POST, /admin/default/index, HTTP/1.1, 303, 0.012000
127.0.0.1, 2018-10-23 11:31:57, GET, /admin/default/site, HTTP/1.1, 200, 0.066000
127.0.0.1, 2018-10-23 11:31:57, GET, /admin/static/_2.17.1/images/folder_locked.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-23 11:31:57, GET, /admin/static/_2.17.1/images/folder.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-10-23 11:31:57, GET, /admin/static/_2.17.1/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.006000
127.0.0.1, 2018-10-23 11:31:57, POST, /admin/default/check_version, HTTP/1.1, 200, 0.383000
127.0.0.1, 2018-10-23 11:31:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-23 11:32:16, GET, /web2py_start/default/index, HTTP/1.1, 200, 0.332000
127.0.0.1, 2018-10-23 11:32:16, GET, /web2py_start/static/css/stupid.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-23 11:32:16, GET, /web2py_start/static/css/custom.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-23 11:32:16, GET, /web2py_start/static/css/calendar.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-23 11:32:16, GET, /web2py_start/static/css/myapp.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-23 11:32:16, GET, /web2py_start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-23 11:32:16, GET, /web2py_start/static/css/web2py.css, HTTP/1.1, 200, 0.006000
127.0.0.1, 2018-10-23 11:32:16, GET, /web2py_start/static/js/calendar.js, HTTP/1.1, 200, 0.034000
127.0.0.1, 2018-10-23 11:32:16, GET, /web2py_start/static/js/web2py.js, HTTP/1.1, 200, 0.037000
127.0.0.1, 2018-10-23 11:32:16, GET, /web2py_start/static/js/vue.min.js, HTTP/1.1, 200, 0.044000
127.0.0.1, 2018-10-23 11:32:16, GET, /web2py_start/static/js/jquery.js, HTTP/1.1, 200, 0.053000
127.0.0.1, 2018-10-23 11:32:16, GET, /web2py_start/static/js/marked.min.js, HTTP/1.1, 200, 0.058000
127.0.0.1, 2018-10-23 11:32:16, GET, /web2py_start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-10-23 11:32:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
